country.value,indicator,date,value,countryiso3code
China,NY.GDP.MKTP.KD.ZG,2023,5.41484330099675,CHN
China,FP.CPI.TOTL.ZG,2023,0.234836828893051,CHN
China,SL.UEM.TOTL.ZS,2023,4.67,CHN
China,BN.CAB.XOKA.GD.ZS,2023,1.4415829879426,CHN
China,NY.GDP.MKTP.KD.ZG,2024,4.9773565917572,CHN
China,FP.CPI.TOTL.ZG,2024,0.218128938439177,CHN
China,SL.UEM.TOTL.ZS,2024,4.571,CHN
China,BN.CAB.XOKA.GD.ZS,2024,2.2616499482671,CHN
Germany,NY.GDP.MKTP.KD.ZG,2000,2.87724595591061,DEU
Germany,FP.CPI.TOTL.ZG,2000,1.44026838719741,DEU
Germany,SL.UEM.TOTL.ZS,2000,7.917,DEU
Germany,BN.CAB.XOKA.GD.ZS,2000,-1.5131310276989,DEU
Germany,NY.GDP.MKTP.KD.ZG,2001,1.63654099437316,DEU
Germany,FP.CPI.TOTL.ZG,2001,1.98385731334471,DEU
Germany,SL.UEM.TOTL.ZS,2001,7.773,DEU
Germany,BN.CAB.XOKA.GD.ZS,2001,-0.17042466008937,DEU
Germany,NY.GDP.MKTP.KD.ZG,2002,-0.228310223930706,DEU
Germany,FP.CPI.TOTL.ZG,2002,1.42080615551526,DEU
Germany,SL.UEM.TOTL.ZS,2002,8.482,DEU
Germany,BN.CAB.XOKA.GD.ZS,2002,1.98424702046954,DEU
Germany,NY.GDP.MKTP.KD.ZG,2003,-0.529929010433477,DEU
Germany,FP.CPI.TOTL.ZG,2003,1.03422218628562,DEU
Germany,SL.UEM.TOTL.ZS,2003,9.779,DEU
Germany,BN.CAB.XOKA.GD.ZS,2003,1.53250948753762,DEU
Germany,NY.GDP.MKTP.KD.ZG,2004,1.16236825444811,DEU
Germany,FP.CPI.TOTL.ZG,2004,1.66573696655992,DEU
Germany,SL.UEM.TOTL.ZS,2004,10.727,DEU
Germany,BN.CAB.XOKA.GD.ZS,2004,4.53374240243279,DEU
Germany,NY.GDP.MKTP.KD.ZG,2005,0.885697256705441,DEU
Germany,FP.CPI.TOTL.ZG,2005,1.54691114751328,DEU
Germany,SL.UEM.TOTL.ZS,2005,11.193,DEU
Germany,BN.CAB.XOKA.GD.ZS,2005,4.64324145764123,DEU
Germany,NY.GDP.MKTP.KD.ZG,2006,3.85573614635729,DEU
Germany,FP.CPI.TOTL.ZG,2006,1.57742642840563,DEU
Germany,SL.UEM.TOTL.ZS,2006,10.277,DEU
Germany,BN.CAB.XOKA.GD.ZS,2006,5.83661726884206,DEU
Germany,NY.GDP.MKTP.KD.ZG,2007,2.89010717888073,DEU
Germany,FP.CPI.TOTL.ZG,2007,2.29834400700951,DEU
Germany,SL.UEM.TOTL.ZS,2007,8.732,DEU
Germany,BN.CAB.XOKA.GD.ZS,2007,6.70574096490581,DEU
Germany,NY.GDP.MKTP.KD.ZG,2008,0.910403214153277,DEU
Germany,FP.CPI.TOTL.ZG,2008,2.62837981637219,DEU
Germany,SL.UEM.TOTL.ZS,2008,7.508,DEU
Germany,BN.CAB.XOKA.GD.ZS,2008,5.57681458234834,DEU
Germany,NY.GDP.MKTP.KD.ZG,2009,-5.54516454479311,DEU
Germany,FP.CPI.TOTL.ZG,2009,0.312739007368447,DEU
Germany,SL.UEM.TOTL.ZS,2009,7.88,DEU
Germany,BN.CAB.XOKA.GD.ZS,2009,5.87415966958685,DEU
Germany,NY.GDP.MKTP.KD.ZG,2010,4.14676755040489,DEU
Germany,FP.CPI.TOTL.ZG,2010,1.1038103778926,DEU
Germany,SL.UEM.TOTL.ZS,2010,7.043,DEU
Germany,BN.CAB.XOKA.GD.ZS,2010,5.77101102573257,DEU
Germany,NY.GDP.MKTP.KD.ZG,2011,3.75796884487347,DEU
Germany,FP.CPI.TOTL.ZG,2011,2.07517283735874,DEU
Germany,SL.UEM.TOTL.ZS,2011,5.967,DEU
Germany,BN.CAB.XOKA.GD.ZS,2011,6.25886646333735,DEU
Germany,NY.GDP.MKTP.KD.ZG,2012,0.47429132103845,DEU
Germany,FP.CPI.TOTL.ZG,2012,2.00848884782956,DEU
Germany,SL.UEM.TOTL.ZS,2012,5.372,DEU
Germany,BN.CAB.XOKA.GD.ZS,2012,7.19271816687105,DEU
Germany,NY.GDP.MKTP.KD.ZG,2013,0.386224592046474,DEU
Germany,FP.CPI.TOTL.ZG,2013,1.50472330251876,DEU
Germany,SL.UEM.TOTL.ZS,2013,5.316,DEU
Germany,BN.CAB.XOKA.GD.ZS,2013,6.72723104677662,DEU
Germany,NY.GDP.MKTP.KD.ZG,2014,2.16949889758517,DEU
Germany,FP.CPI.TOTL.ZG,2014,0.906794000434246,DEU
Germany,SL.UEM.TOTL.ZS,2014,4.979,DEU
Germany,BN.CAB.XOKA.GD.ZS,2014,7.19249005241927,DEU
Germany,NY.GDP.MKTP.KD.ZG,2015,1.65271978656361,DEU
Germany,FP.CPI.TOTL.ZG,2015,0.514426137125456,DEU
Germany,SL.UEM.TOTL.ZS,2015,4.612,DEU
Germany,BN.CAB.XOKA.GD.ZS,2015,8.10033539639848,DEU
Germany,NY.GDP.MKTP.KD.ZG,2016,2.29471066413561,DEU
Germany,FP.CPI.TOTL.ZG,2016,0.491747008445174,DEU
Germany,SL.UEM.TOTL.ZS,2016,4.104,DEU
Germany,BN.CAB.XOKA.GD.ZS,2016,8.89985353214632,DEU
Germany,NY.GDP.MKTP.KD.ZG,2017,2.71602454639843,DEU
Germany,FP.CPI.TOTL.ZG,2017,1.50949485109628,DEU
Germany,SL.UEM.TOTL.ZS,2017,3.781,DEU
Germany,BN.CAB.XOKA.GD.ZS,2017,8.08358573755333,DEU
Germany,NY.GDP.MKTP.KD.ZG,2018,1.11644310902427,DEU
Germany,FP.CPI.TOTL.ZG,2018,1.73216879766942,DEU
Germany,SL.UEM.TOTL.ZS,2018,3.384,DEU
Germany,BN.CAB.XOKA.GD.ZS,2018,8.44474369079797,DEU
Germany,NY.GDP.MKTP.KD.ZG,2019,0.987893350164853,DEU
Germany,FP.CPI.TOTL.ZG,2019,1.44565976888253,DEU
Germany,SL.UEM.TOTL.ZS,2019,3.163,DEU
Germany,BN.CAB.XOKA.GD.ZS,2019,7.88005874480123,DEU
Germany,NY.GDP.MKTP.KD.ZG,2020,-4.09513751682526,DEU
Germany,FP.CPI.TOTL.ZG,2020,0.144877925813982,DEU
Germany,SL.UEM.TOTL.ZS,2020,3.881,DEU
Germany,BN.CAB.XOKA.GD.ZS,2020,6.34985102790796,DEU
Germany,NY.GDP.MKTP.KD.ZG,2021,3.6699998840452,DEU
Germany,FP.CPI.TOTL.ZG,2021,3.06666666666673,DEU
Germany,SL.UEM.TOTL.ZS,2021,3.594,DEU
Germany,BN.CAB.XOKA.GD.ZS,2021,6.93113737824586,DEU
Germany,NY.GDP.MKTP.KD.ZG,2022,1.36973104612758,DEU
Germany,FP.CPI.TOTL.ZG,2022,6.87257438551097,DEU
Germany,SL.UEM.TOTL.ZS,2022,3.12,DEU
Germany,BN.CAB.XOKA.GD.ZS,2022,3.88506689580802,DEU
Germany,NY.GDP.MKTP.KD.ZG,2023,-0.266438401180253,DEU
Germany,FP.CPI.TOTL.ZG,2023,5.94643667725823,DEU
Germany,SL.UEM.TOTL.ZS,2023,3.068,DEU
Germany,BN.CAB.XOKA.GD.ZS,2023,5.55668585897884,DEU
Germany,NY.GDP.MKTP.KD.ZG,2024,-0.238526858256165,DEU
Germany,FP.CPI.TOTL.ZG,2024,2.2564981433876,DEU
Germany,SL.UEM.TOTL.ZS,2024,3.406,DEU
Germany,BN.CAB.XOKA.GD.ZS,2024,5.73091235034847,DEU
India,NY.GDP.MKTP.KD.ZG,2000,3.84099115659129,IND
India,FP.CPI.TOTL.ZG,2000,4.0094359104519,IND
India,SL.UEM.TOTL.ZS,2000,7.624,IND
India,GC.DOD.TOTL.GD.ZS,2000,55.0042464964554,IND
India,BN.CAB.XOKA.GD.ZS,2000,-0.982342580017138,IND
India,NY.GDP.MKTP.KD.ZG,2001,4.82396626555771,IND
India,FP.CPI.TOTL.ZG,2001,3.77929312235637,IND
India,SL.UEM.TOTL.ZS,2001,7.653,IND
