country.value,countryiso3code,date,value,indicator
Germany,DEU,2004,4.53374240243279,BN.CAB.XOKA.GD.ZS
Germany,DEU,2005,0.885697256705441,NY.GDP.MKTP.KD.ZG
Germany,DEU,2005,1.54691114751328,FP.CPI.TOTL.ZG
Germany,DEU,2005,11.193,SL.UEM.TOTL.ZS
Germany,DEU,2005,4.64324145764123,BN.CAB.XOKA.GD.ZS
Germany,DEU,2006,3.85573614635729,NY.GDP.MKTP.KD.ZG
Germany,DEU,2006,1.57742642840563,FP.CPI.TOTL.ZG
Germany,DEU,2006,10.277,SL.UEM.TOTL.ZS
Germany,DEU,2006,5.83661726884206,BN.CAB.XOKA.GD.ZS
Germany,DEU,2007,2.89010717888073,NY.GDP.MKTP.KD.ZG
Germany,DEU,2007,2.29834400700951,FP.CPI.TOTL.ZG
Germany,DEU,2007,8.732,SL.UEM.TOTL.ZS
Germany,DEU,2007,6.70574096490581,BN.CAB.XOKA.GD.ZS
Germany,DEU,2008,0.910403214153277,NY.GDP.MKTP.KD.ZG
Germany,DEU,2008,2.62837981637219,FP.CPI.TOTL.ZG
Germany,DEU,2008,7.508,SL.UEM.TOTL.ZS
Germany,DEU,2008,5.57681458234834,BN.CAB.XOKA.GD.ZS
Germany,DEU,2009,-5.54516454479311,NY.GDP.MKTP.KD.ZG
Germany,DEU,2009,0.312739007368447,FP.CPI.TOTL.ZG
Germany,DEU,2009,7.88,SL.UEM.TOTL.ZS
Germany,DEU,2009,5.87415966958685,BN.CAB.XOKA.GD.ZS
Germany,DEU,2010,4.14676755040489,NY.GDP.MKTP.KD.ZG
Germany,DEU,2010,1.1038103778926,FP.CPI.TOTL.ZG
Germany,DEU,2010,7.043,SL.UEM.TOTL.ZS
Germany,DEU,2010,5.77101102573257,BN.CAB.XOKA.GD.ZS
Germany,DEU,2011,3.75796884487347,NY.GDP.MKTP.KD.ZG
Germany,DEU,2011,2.07517283735874,FP.CPI.TOTL.ZG
Germany,DEU,2011,5.967,SL.UEM.TOTL.ZS
Germany,DEU,2011,6.25886646333735,BN.CAB.XOKA.GD.ZS
Germany,DEU,2012,0.47429132103845,NY.GDP.MKTP.KD.ZG
Germany,DEU,2012,2.00848884782956,FP.CPI.TOTL.ZG
Germany,DEU,2012,5.372,SL.UEM.TOTL.ZS
Germany,DEU,2012,7.19271816687105,BN.CAB.XOKA.GD.ZS
Germany,DEU,2013,0.386224592046474,NY.GDP.MKTP.KD.ZG
Germany,DEU,2013,1.50472330251876,FP.CPI.TOTL.ZG
Germany,DEU,2013,5.316,SL.UEM.TOTL.ZS
Germany,DEU,2013,6.72723104677662,BN.CAB.XOKA.GD.ZS
Germany,DEU,2014,2.16949889758517,NY.GDP.MKTP.KD.ZG
Germany,DEU,2014,0.906794000434246,FP.CPI.TOTL.ZG
Germany,DEU,2014,4.979,SL.UEM.TOTL.ZS
Germany,DEU,2014,7.19249005241927,BN.CAB.XOKA.GD.ZS
Germany,DEU,2015,1.65271978656361,NY.GDP.MKTP.KD.ZG
Germany,DEU,2015,0.514426137125456,FP.CPI.TOTL.ZG
Germany,DEU,2015,4.612,SL.UEM.TOTL.ZS
Germany,DEU,2015,8.10033539639848,BN.CAB.XOKA.GD.ZS
Germany,DEU,2016,2.29471066413561,NY.GDP.MKTP.KD.ZG
Germany,DEU,2016,0.491747008445174,FP.CPI.TOTL.ZG
Germany,DEU,2016,4.104,SL.UEM.TOTL.ZS
Germany,DEU,2016,8.89985353214632,BN.CAB.XOKA.GD.ZS
Germany,DEU,2017,2.71602454639843,NY.GDP.MKTP.KD.ZG
Germany,DEU,2017,1.50949485109628,FP.CPI.TOTL.ZG
Germany,DEU,2017,3.781,SL.UEM.TOTL.ZS
Germany,DEU,2017,8.08358573755333,BN.CAB.XOKA.GD.ZS
Germany,DEU,2018,1.11644310902427,NY.GDP.MKTP.KD.ZG
Germany,DEU,2018,1.73216879766942,FP.CPI.TOTL.ZG
Germany,DEU,2018,3.384,SL.UEM.TOTL.ZS
Germany,DEU,2018,8.44474369079797,BN.CAB.XOKA.GD.ZS
Germany,DEU,2019,0.987893350164853,NY.GDP.MKTP.KD.ZG
Germany,DEU,2019,1.44565976888253,FP.CPI.TOTL.ZG
Germany,DEU,2019,3.163,SL.UEM.TOTL.ZS
